m,n,k,p,algorithm,time,case
43969,43969,43969,1024,CARMA [21] ,30240.756,memory_p1
43969,43969,43969,1024,CARMA [21] ,27572.454,memory_p1
61644,61644,61644,2048,CARMA [21] ,12505.5,memory_p1
61644,61644,61644,2048,CARMA [21] ,12755.61,memory_p1
61644,61644,61644,2048,CARMA [21] ,11755.17,memory_p1
87177,87177,87177,4096,CARMA [21] ,95279.1,memory_p1
87177,87177,87177,4096,CARMA [21] ,94326.30900000001,memory_p1
87177,87177,87177,4096,CARMA [21] ,86703.981,memory_p1
123288,123288,123288,8192,CARMA [21] ,29132.25,memory_p1
123288,123288,123288,8192,CARMA [21] ,29714.895,memory_p1
123288,123288,123288,8192,CARMA [21] ,31462.83,memory_p1
174355,174355,174355,16384,CARMA [21] ,65297.4,memory_p1
174355,174355,174355,16384,CARMA [21] ,62685.504,memory_p1
174355,174355,174355,16384,CARMA [21] ,61379.556000000004,memory_p1
16329,16329,16329,128,ScaLAPACK [51] ,3960,memory_p1
16329,16329,16329,128,ScaLAPACK [51] ,4039.2,memory_p1
16329,16329,16329,128,ScaLAPACK [51] ,4158.0,memory_p1
16329,16329,16329,144,ScaLAPACK [51] ,3307,memory_p1
16329,16329,16329,144,ScaLAPACK [51] ,3174.72,memory_p1
16329,16329,16329,144,ScaLAPACK [51] ,3042.44,memory_p1
21602,21602,21602,252,ScaLAPACK [51] ,4478,memory_p1
21602,21602,21602,252,ScaLAPACK [51] ,4298.88,memory_p1
21602,21602,21602,252,ScaLAPACK [51] ,4164.54,memory_p1
23094,23094,23094,256,ScaLAPACK [51] ,5244,memory_p1
23094,23094,23094,256,ScaLAPACK [51] ,5086.68,memory_p1
23094,23094,23094,256,ScaLAPACK [51] ,4929.36,memory_p1
23094,23094,23094,288,ScaLAPACK [51] ,4797,memory_p1
23094,23094,23094,288,ScaLAPACK [51] ,4653.09,memory_p1
23094,23094,23094,288,ScaLAPACK [51] ,5084.82,memory_p1
29439,29439,29439,468,ScaLAPACK [51] ,6407,memory_p1
29439,29439,29439,468,ScaLAPACK [51] ,6599.21,memory_p1
29439,29439,29439,468,ScaLAPACK [51] ,6791.42,memory_p1
31622,31622,31622,512,ScaLAPACK [51] ,7383,memory_p1
31622,31622,31622,512,ScaLAPACK [51] ,7235.34,memory_p1
31622,31622,31622,512,ScaLAPACK [51] ,6940.02,memory_p1
32659,32659,32659,576,ScaLAPACK [51] ,7670,memory_p1
32659,32659,32659,576,ScaLAPACK [51] ,7900.1,memory_p1
32659,32659,32659,576,ScaLAPACK [51] ,8283.6,memory_p1
40824,40824,40824,900,ScaLAPACK [51] ,10427,memory_p1
40824,40824,40824,900,ScaLAPACK [51] ,10635.54,memory_p1
40824,40824,40824,900,ScaLAPACK [51] ,10948.35,memory_p1
42426,42426,42426,972,ScaLAPACK [51] ,10489,memory_p1
42426,42426,42426,972,ScaLAPACK [51] ,10384.11,memory_p1
42426,42426,42426,972,ScaLAPACK [51] ,9649.88,memory_p1
43969,43969,43969,1024,ScaLAPACK [51] ,10316,memory_p1
43969,43969,43969,1024,ScaLAPACK [51] ,10006.52,memory_p1
43969,43969,43969,1024,ScaLAPACK [51] ,9593.88,memory_p1
46188,46188,46188,1152,ScaLAPACK [51] ,10641,memory_p1
46188,46188,46188,1152,ScaLAPACK [51] ,10215.36,memory_p1
46188,46188,46188,1152,ScaLAPACK [51] ,11173.05,memory_p1
49665,49665,49665,1332,ScaLAPACK [51] ,15771,memory_p1
49665,49665,49665,1332,ScaLAPACK [51] ,15140.16,memory_p1
49665,49665,49665,1332,ScaLAPACK [51] ,14824.74,memory_p1
61644,61644,61644,2048,ScaLAPACK [51] ,16352,memory_p1
61644,61644,61644,2048,ScaLAPACK [51] ,15697.92,memory_p1
61644,61644,61644,2048,ScaLAPACK [51] ,17333.12,memory_p1
63770,63770,63770,2196,ScaLAPACK [51] ,24786,memory_p1
63770,63770,63770,2196,ScaLAPACK [51] ,24042.42,memory_p1
63770,63770,63770,2196,ScaLAPACK [51] ,26273.16,memory_p1
65319,65319,65319,2304,ScaLAPACK [51] ,18315,memory_p1
65319,65319,65319,2304,ScaLAPACK [51] ,18864.45,memory_p1
65319,65319,65319,2304,ScaLAPACK [51] ,16666.65,memory_p1
73484,73484,73484,2916,ScaLAPACK [51] ,22107,memory_p1
73484,73484,73484,2916,ScaLAPACK [51] ,22328.07,memory_p1
73484,73484,73484,2916,ScaLAPACK [51] ,20559.51,memory_p1
78740,78740,78740,3348,ScaLAPACK [51] ,21382,memory_p1
78740,78740,78740,3348,ScaLAPACK [51] ,22023.46,memory_p1
78740,78740,78740,3348,ScaLAPACK [51] ,22664.92,memory_p1
87177,87177,87177,4096,ScaLAPACK [51] ,52697,memory_p1
87177,87177,87177,4096,ScaLAPACK [51] ,53223.97,memory_p1
87177,87177,87177,4096,ScaLAPACK [51] ,56912.76,memory_p1
92376,92376,92376,4608,ScaLAPACK [51] ,24479,memory_p1
92376,92376,92376,4608,ScaLAPACK [51] ,24234.21,memory_p1
92376,92376,92376,4608,ScaLAPACK [51] ,22520.68,memory_p1
115758,115758,115758,7236,ScaLAPACK [51] ,39797,memory_p1
115758,115758,115758,7236,ScaLAPACK [51] ,40592.94,memory_p1
115758,115758,115758,7236,ScaLAPACK [51] ,42582.79,memory_p1
120000,120000,120000,7776,ScaLAPACK [51] ,33740,memory_p1
120000,120000,120000,7776,ScaLAPACK [51] ,34077.4,memory_p1
120000,120000,120000,7776,ScaLAPACK [51] ,36101.8,memory_p1
123288,123288,123288,8192,ScaLAPACK [51] ,97849,memory_p1
123288,123288,123288,8192,ScaLAPACK [51] ,100784.47,memory_p1
123288,123288,123288,8192,ScaLAPACK [51] ,103719.94,memory_p1
130639,130639,130639,9216,ScaLAPACK [51] ,40733,memory_p1
130639,130639,130639,9216,ScaLAPACK [51] ,41954.99,memory_p1
130639,130639,130639,9216,ScaLAPACK [51] ,42769.65,memory_p1
148996,148996,148996,11988,ScaLAPACK [51] ,51778,memory_p1
148996,148996,148996,11988,ScaLAPACK [51] ,51260.22,memory_p1
148996,148996,148996,11988,ScaLAPACK [51] ,48671.32,memory_p1
174355,174355,174355,16384,ScaLAPACK [51] ,53410,memory_p1
174355,174355,174355,16384,ScaLAPACK [51] ,51807.7,memory_p1
174355,174355,174355,16384,ScaLAPACK [51] ,49671.3,memory_p1
177576,177576,177576,17028,ScaLAPACK [51] ,61346,memory_p1
177576,177576,177576,17028,ScaLAPACK [51] ,60119.08,memory_p1
177576,177576,177576,17028,ScaLAPACK [51] ,56438.32,memory_p1
184752,184752,184752,18432,ScaLAPACK [51] ,52895,memory_p1
184752,184752,184752,18432,ScaLAPACK [51] ,52366.05,memory_p1
184752,184752,184752,18432,ScaLAPACK [51] ,49721.3,memory_p1
16329,16329,16329,128,CTF [47] ,3160,memory_p1
16329,16329,16329,128,CTF [47] ,3096.8,memory_p1
16329,16329,16329,128,CTF [47] ,3381.2,memory_p1
16329,16329,16329,144,CTF [47] ,2842,memory_p1
16329,16329,16329,144,CTF [47] ,2785.16,memory_p1
16329,16329,16329,144,CTF [47] ,2643.06,memory_p1
21602,21602,21602,252,CTF [47] ,4622,memory_p1
21602,21602,21602,252,CTF [47] ,4806.88,memory_p1
21602,21602,21602,252,CTF [47] ,4945.54,memory_p1
23094,23094,23094,256,CTF [47] ,4740,memory_p1
23094,23094,23094,256,CTF [47] ,4645.2,memory_p1
23094,23094,23094,256,CTF [47] ,4503.0,memory_p1
23094,23094,23094,288,CTF [47] ,4972,memory_p1
23094,23094,23094,288,CTF [47] ,4822.84,memory_p1
23094,23094,23094,288,CTF [47] ,5369.76,memory_p1
29439,29439,29439,468,CTF [47] ,7968,memory_p1
29439,29439,29439,468,CTF [47] ,8286.72,memory_p1
29439,29439,29439,468,CTF [47] ,7410.24,memory_p1
31622,31622,31622,512,CTF [47] ,7716,memory_p1
31622,31622,31622,512,CTF [47] ,7870.32,memory_p1
31622,31622,31622,512,CTF [47] ,8410.44,memory_p1
32659,32659,32659,576,CTF [47] ,7877,memory_p1
32659,32659,32659,576,CTF [47] ,7955.77,memory_p1
32659,32659,32659,576,CTF [47] ,7483.15,memory_p1
40824,40824,40824,900,CTF [47] ,11790,memory_p1
40824,40824,40824,900,CTF [47] ,11318.4,memory_p1
40824,40824,40824,900,CTF [47] ,12615.3,memory_p1
42426,42426,42426,972,CTF [47] ,14285,memory_p1
42426,42426,42426,972,CTF [47] ,14570.7,memory_p1
42426,42426,42426,972,CTF [47] ,15142.1,memory_p1
43969,43969,43969,1024,CTF [47] ,12907,memory_p1
43969,43969,43969,1024,CTF [47] ,12777.93,memory_p1
43969,43969,43969,1024,CTF [47] ,11874.44,memory_p1
46188,46188,46188,1152,CTF [47] ,14904,memory_p1
46188,46188,46188,1152,CTF [47] ,14754.96,memory_p1
46188,46188,46188,1152,CTF [47] ,15649.2,memory_p1
49665,49665,49665,1332,CTF [47] ,23868,memory_p1
49665,49665,49665,1332,CTF [47] ,24584.04,memory_p1
49665,49665,49665,1332,CTF [47] ,21958.56,memory_p1
61644,61644,61644,2048,CTF [47] ,24778,memory_p1
61644,61644,61644,2048,CTF [47] ,23786.88,memory_p1
61644,61644,61644,2048,CTF [47] ,22547.98,memory_p1
63770,63770,63770,2196,CTF [47] ,25853,memory_p1
63770,63770,63770,2196,CTF [47] ,25077.41,memory_p1
63770,63770,63770,2196,CTF [47] ,28179.77,memory_p1
65319,65319,65319,2304,CTF [47] ,25839,memory_p1
65319,65319,65319,2304,CTF [47] ,25322.22,memory_p1
65319,65319,65319,2304,CTF [47] ,27906.12,memory_p1
73484,73484,73484,2916,CTF [47] ,30744,memory_p1
73484,73484,73484,2916,CTF [47] ,30436.56,memory_p1
73484,73484,73484,2916,CTF [47] ,33203.52,memory_p1
78740,78740,78740,3348,CTF [47] ,51652,memory_p1
78740,78740,78740,3348,CTF [47] ,53718.08,memory_p1
78740,78740,78740,3348,CTF [47] ,49069.4,memory_p1
87177,87177,87177,4096,CTF [47] ,36762,memory_p1
87177,87177,87177,4096,CTF [47] ,35659.14,memory_p1
87177,87177,87177,4096,CTF [47] ,39702.96,memory_p1
92376,92376,92376,4608,CTF [47] ,55006,memory_p1
92376,92376,92376,4608,CTF [47] ,56656.18,memory_p1
92376,92376,92376,4608,CTF [47] ,50605.520000000004,memory_p1
115758,115758,115758,7236,CTF [47] ,42381,memory_p1
115758,115758,115758,7236,CTF [47] ,41533.38,memory_p1
115758,115758,115758,7236,CTF [47] ,45347.67,memory_p1
120000,120000,120000,7776,CTF [47] ,70422,memory_p1
120000,120000,120000,7776,CTF [47] ,72534.66,memory_p1
120000,120000,120000,7776,CTF [47] ,75351.54,memory_p1
123288,123288,123288,8192,CTF [47] ,75962,memory_p1
123288,123288,123288,8192,CTF [47] ,77481.24,memory_p1
123288,123288,123288,8192,CTF [47] ,81279.34,memory_p1
130639,130639,130639,9216,CTF [47] ,69842,memory_p1
